"Title";"Leading";"link";"time";"day";"date";"EndReg";"places"
"Практическое занятие «Инженерный дизайн CAD»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67360";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"6|35"
"Практическое занятие «Реверсивный инжиниринг»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67362";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"2|35"
"Практическое занятие «Графический дизайн»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67358";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"3|35"
"Практическое занятие «Мультимедийные технологии»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67357";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"1|35"
"Практическое занятие «Мобильная робототехника на базе «Arduino»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67359";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"5|35"
"Практическое занятие «Виртуальная и дополненная реальность»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67356";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"8|35"
"Практическое занятие «Прототипирование (3D-печать)»";"Проектный центр «Детский технопарк равных возможностей» РГСУ";"http://profil.mos.ru/events/event/67361";"10:00 мск";"Mo";"4January";"Регистрация открыта до 30 December 10:00 мск";"0|35"
"Семинар «Лазерные технологии и их применение в проектной деятельности обучающихся инженерных классов»";"ГБОУ Школа № 2070";"http://profil.mos.ru/events/event/65385";"15:30 мск";"We";"13January";"Регистрация открыта до 12 January 18:00 мск";"0|50"
"Лекция «Основы 3D-моделирования в программах AUTODESK INVENTOR и FUSION 360»";"ГБОУ Школа № 1502";"http://profil.mos.ru/events/event/66248";"18:00 мск";"We";"13January";"Регистрация открыта до 12 January 18:00 мск";"4|20"
"Семинар «Подготовка к участию в открытой городской научно-практической конференции «Инженеры будущего»";"Городской методический центр Департамента образования и науки города Москвы";"http://profil.mos.ru/events/event/65448";"16:00 мск";"Fr";"15January";"Регистрация открыта до 14 January 12:00 мск";"41|200"
